ctime,activePower,label
2020-03-08 10:00:00,0.0,0.0
2020-03-08 10:01:00,0.0,0.0
2020-03-08 10:02:00,0.0,0.0
2020-03-08 10:03:00,0.0,0.0
2020-03-08 10:04:00,0.0,0.0
2020-03-08 10:05:00,0.0,0.0
2020-03-08 10:06:00,0.0,0.0
2020-03-08 10:07:00,0.0,0.0
2020-03-08 10:08:00,0.0,0.0
2020-03-08 10:09:00,0.0,0.0
2020-03-08 10:10:00,0.0,0.0
2020-03-08 10:11:00,0.0,0.0
2020-03-08 10:12:00,0.0,0.0
2020-03-08 10:13:00,0.0,0.0
2020-03-08 10:14:00,0.0,0.0
2020-03-08 10:15:00,0.0,0.0
2020-03-08 10:16:00,0.0,0.0
2020-03-08 10:17:00,0.0,0.0
2020-03-08 10:18:00,0.0,0.0
2020-03-08 10:19:00,0.0,0.0
2020-03-08 10:20:00,0.0,0.0
2020-03-08 10:21:00,0.0,0.0
2020-03-08 10:22:00,0.0,0.0
2020-03-08 10:23:00,0.0,0.0
2020-03-08 10:24:00,0.0,0.0
2020-03-08 10:25:00,0.0,0.0
2020-03-08 10:26:00,0.0,0.0
2020-03-08 10:27:00,0.0,0.0
2020-03-08 10:28:00,0.0,0.0
2020-03-08 10:29:00,0.0,0.0
2020-03-08 10:30:00,0.0,0.0
2020-03-08 10:31:00,0.0,0.0
2020-03-08 10:32:00,0.0,0.0
2020-03-08 10:33:00,0.0,0.0
2020-03-08 10:34:00,0.0,0.0
2020-03-08 10:35:00,0.0,0.0
2020-03-08 10:36:00,0.0,0.0
2020-03-08 10:37:00,0.0,0.0
2020-03-08 10:38:00,0.0,0.0
2020-03-08 10:39:00,0.0,0.0
2020-03-08 10:40:00,0.0,0.0
2020-03-08 10:41:00,0.0,0.0
2020-03-08 10:42:00,0.0,0.0
2020-03-08 10:43:00,0.0,0.0
2020-03-08 10:44:00,122.0,0.0
2020-03-08 10:45:00,126.0,0.0
2020-03-08 10:46:00,126.0,0.0
2020-03-08 10:47:00,124.0,0.0
2020-03-08 10:48:00,127.0,0.0
2020-03-08 10:49:00,362.0,0.0
2020-03-08 10:50:00,367.0,0.0
2020-03-08 10:51:00,372.0,0.0
2020-03-08 10:52:00,385.0,0.0
2020-03-08 10:53:00,392.0,0.0
2020-03-08 10:54:00,392.0,0.0
2020-03-08 10:55:00,400.0,0.0
2020-03-08 10:56:00,404.0,0.0
2020-03-08 10:57:00,419.0,0.0
2020-03-08 10:58:00,409.0,0.0
2020-03-08 10:59:00,419.0,0.0
2020-03-08 11:00:00,426.0,0.0
2020-03-08 11:01:00,419.0,0.0
2020-03-08 11:02:00,432.0,0.0
2020-03-08 11:03:00,439.0,0.0
2020-03-08 11:04:00,435.0,0.0
2020-03-08 11:05:00,437.0,0.0
2020-03-08 11:06:00,441.0,0.0
2020-03-08 11:07:00,442.0,0.0
2020-03-08 11:08:00,450.0,0.0
2020-03-08 11:09:00,455.0,0.0
2020-03-08 11:10:00,463.0,0.0
2020-03-08 11:11:00,461.0,0.0
2020-03-08 11:12:00,457.0,0.0
2020-03-08 11:13:00,467.0,0.0
2020-03-08 11:14:00,472.0,0.0
2020-03-08 11:15:00,468.0,0.0
2020-03-08 11:16:00,467.0,0.0
2020-03-08 11:17:00,469.0,0.0
2020-03-08 11:18:00,471.0,0.0
2020-03-08 11:19:00,475.0,0.0
2020-03-08 11:20:00,478.0,0.0
2020-03-08 11:21:00,492.0,0.0
2020-03-08 11:22:00,499.0,0.0
2020-03-08 11:23:00,500.0,0.0
2020-03-08 11:24:00,503.0,0.0
2020-03-08 11:25:00,503.0,0.0
2020-03-08 11:26:00,495.0,0.0
2020-03-08 11:27:00,498.0,0.0
2020-03-08 11:28:00,495.0,0.0
2020-03-08 11:29:00,497.0,0.0
2020-03-08 11:30:00,495.0,0.0
2020-03-08 11:31:00,498.0,0.0
2020-03-08 11:32:00,503.0,0.0
2020-03-08 11:33:00,501.0,0.0
2020-03-08 11:34:00,498.0,0.0
2020-03-08 11:35:00,497.0,0.0
2020-03-08 11:36:00,504.0,0.0
2020-03-08 11:37:00,514.0,0.0
2020-03-08 11:38:00,519.0,0.0
2020-03-08 11:39:00,517.0,0.0
2020-03-08 11:40:00,523.0,0.0
2020-03-08 11:41:00,523.0,0.0
2020-03-08 11:42:00,522.0,0.0
2020-03-08 11:43:00,529.0,0.0
2020-03-08 11:44:00,534.0,0.0
2020-03-08 11:45:00,534.0,0.0
2020-03-08 11:46:00,545.0,0.0
2020-03-08 11:47:00,545.0,0.0
2020-03-08 11:48:00,545.0,0.0
2020-03-08 11:49:00,545.0,0.0
2020-03-08 11:50:00,546.0,0.0
2020-03-08 11:51:00,546.0,0.0
2020-03-08 11:52:00,533.0,0.0
2020-03-08 11:53:00,559.0,0.0
2020-03-08 11:54:00,544.0,0.0
2020-03-08 11:55:00,543.0,0.0
2020-03-08 11:56:00,549.0,0.0
2020-03-08 11:57:00,595.0,0.0
2020-03-08 11:58:00,560.0,0.0
2020-03-08 11:59:00,542.0,0.0
2020-03-08 12:00:00,538.0,0.0
2020-03-08 12:01:00,567.0,0.0
2020-03-08 12:02:00,537.0,0.0
2020-03-08 12:03:00,557.0,0.0
2020-03-08 12:04:00,557.0,0.0
2020-03-08 12:05:00,546.0,0.0
2020-03-08 12:06:00,551.0,0.0
2020-03-08 12:07:00,591.0,0.0
2020-03-08 12:08:00,545.0,0.0
2020-03-08 12:09:00,557.0,0.0
2020-03-08 12:10:00,547.0,0.0
2020-03-08 12:11:00,537.0,0.0
2020-03-08 12:12:00,565.0,0.0
2020-03-08 12:13:00,581.0,0.0
2020-03-08 12:14:00,556.0,0.0
2020-03-08 12:15:00,548.0,0.0
2020-03-08 12:16:00,551.0,0.0
2020-03-08 12:17:00,555.0,0.0
2020-03-08 12:18:00,584.0,0.0
2020-03-08 12:19:00,555.0,0.0
2020-03-08 12:20:00,555.0,0.0
2020-03-08 12:21:00,544.0,0.0
2020-03-08 12:22:00,559.0,0.0
2020-03-08 12:23:00,580.0,0.0
2020-03-08 12:24:00,559.0,0.0
2020-03-08 12:25:00,564.0,0.0
2020-03-08 12:26:00,561.0,0.0
2020-03-08 12:27:00,550.0,0.0
2020-03-08 12:28:00,554.0,0.0
2020-03-08 12:29:00,565.0,0.0
2020-03-08 12:30:00,550.0,0.0
2020-03-08 12:31:00,553.0,0.0
2020-03-08 12:32:00,557.0,0.0
2020-03-08 12:33:00,556.0,0.0
2020-03-08 12:34:00,558.0,0.0
2020-03-08 12:35:00,553.0,0.0
2020-03-08 12:36:00,554.0,0.0
2020-03-08 12:37:00,555.0,0.0
2020-03-08 12:38:00,554.0,0.0
2020-03-08 12:39:00,553.0,0.0
2020-03-08 12:40:00,556.0,0.0
2020-03-08 12:41:00,555.0,0.0
2020-03-08 12:42:00,558.0,0.0
2020-03-08 12:43:00,555.0,0.0
2020-03-08 12:44:00,558.0,0.0
2020-03-08 12:45:00,87.0,0.0
2020-03-08 12:46:00,82.0,0.0
2020-03-08 12:47:00,84.0,0.0
2020-03-08 12:48:00,85.0,0.0
2020-03-08 12:49:00,87.0,0.0
2020-03-08 12:50:00,548.0,0.0
2020-03-08 12:51:00,536.0,0.0
2020-03-08 12:52:00,532.0,0.0
2020-03-08 12:53:00,540.0,0.0
2020-03-08 12:54:00,539.0,0.0
2020-03-08 12:55:00,541.0,0.0
2020-03-08 12:56:00,543.0,0.0
2020-03-08 12:57:00,550.0,0.0
2020-03-08 12:58:00,550.0,0.0
2020-03-08 12:59:00,556.0,0.0
2020-03-08 13:00:00,557.0,0.0
2020-03-08 13:01:00,555.0,0.0
2020-03-08 13:02:00,557.0,0.0
2020-03-08 13:03:00,556.0,0.0
2020-03-08 13:04:00,556.0,0.0
2020-03-08 13:05:00,556.0,0.0
2020-03-08 13:06:00,83.0,0.0
2020-03-08 13:07:00,84.0,0.0
2020-03-08 13:08:00,85.0,0.0
2020-03-08 13:09:00,85.0,0.0
2020-03-08 13:10:00,549.0,0.0
2020-03-08 13:11:00,540.0,0.0
2020-03-08 13:12:00,539.0,0.0
2020-03-08 13:13:00,542.0,0.0
2020-03-08 13:14:00,540.0,0.0
2020-03-08 13:15:00,544.0,0.0
2020-03-08 13:16:00,542.0,0.0
2020-03-08 13:17:00,542.0,0.0
2020-03-08 13:18:00,544.0,0.0
2020-03-08 13:19:00,544.0,0.0
2020-03-08 13:20:00,544.0,0.0
2020-03-08 13:21:00,556.3832684753228,1.0
2020-03-08 13:22:00,555.2121483023833,1.0
2020-03-08 13:23:00,571.3065316804762,1.0
2020-03-08 13:24:00,553.5932889120618,1.0
2020-03-08 13:25:00,552.6912967788935,1.0
2020-03-08 13:26:00,579.0348230179043,1.0
2020-03-08 13:27:00,551.302414390811,1.0
2020-03-08 13:28:00,566.689935543305,1.0
2020-03-08 13:29:00,565.6144483233412,1.0
2020-03-08 13:30:00,559.7704302500409,1.0
2020-03-08 13:31:00,558.5601654209655,1.0
2020-03-08 13:32:00,550.4304557273118,1.0
2020-03-08 13:33:00,110.0,0.0
2020-03-08 13:34:00,111.0,0.0
2020-03-08 13:35:00,113.0,0.0
